text,label
please review the attached draft of the new marketing campaign and provide feedback,0
please review the attached draft of the new marketing campaign and provide feedback,0
here are the notes from our brainstorming session lets discuss next steps,0
we noticed suspicious activity on your credit card verify your transactions here,1
happy birthday wishing you a fantastic day and a great year ahead,0
just following up on my previous email regarding the project timeline,0
are we still on for lunch today let me know what time works best for you,0
your monthly newsletter is here check out the latest updates from our company,0
can you please send me the presentation slides from yesterdays seminar,0
congratulations you have been selected for a free gift card claim it now,1
security alert unauthorized access detected login below to secure your account,1
your password expires in hours click this link to update it,1
just following up on my previous email regarding the project timeline,0
please review the attached draft of the new marketing campaign and provide feedback,0
your password expires in hours click this link to update it,1
thanks for your purchase your order has shipped and should arrive by friday,0
dear customer your package could not be delivered pay the shipping fee here,1
are we still on for lunch today let me know what time works best for you,0
urgent your account has been suspended click here to verify your identity immediately,1
attention your email quota is full upgrade now or lose your messages,1
here are the notes from our brainstorming session lets discuss next steps,0
are we still on for lunch today let me know what time works best for you,0
dear customer your package could not be delivered pay the shipping fee here,1
happy birthday wishing you a fantastic day and a great year ahead,0
hi team just a reminder about our meeting tomorrow at am see you then,0
here are the notes from our brainstorming session lets discuss next steps,0
here are the notes from our brainstorming session lets discuss next steps,0
dear customer your package could not be delivered pay the shipping fee here,1
your monthly newsletter is here check out the latest updates from our company,0
here are the notes from our brainstorming session lets discuss next steps,0
dear customer your package could not be delivered pay the shipping fee here,1
urgent your account has been suspended click here to verify your identity immediately,1
dear customer your package could not be delivered pay the shipping fee here,1
dear customer your package could not be delivered pay the shipping fee here,1
security alert unauthorized access detected login below to secure your account,1
your password expires in hours click this link to update it,1
attention your email quota is full upgrade now or lose your messages,1
attached is the quarterly financial report for your review let me know if you have questions,0
you have won reply with your bank details to claim your prize now,1
are we still on for lunch today let me know what time works best for you,0
please review the attached draft of the new marketing campaign and provide feedback,0
hi team just a reminder about our meeting tomorrow at am see you then,0
your password expires in hours click this link to update it,1
thanks for your purchase your order has shipped and should arrive by friday,0
you have won reply with your bank details to claim your prize now,1
are we still on for lunch today let me know what time works best for you,0
we noticed suspicious activity on your credit card verify your transactions here,1
happy birthday wishing you a fantastic day and a great year ahead,0
final notice your subscription will be cancelled unless you update your payment info,1
attached is the quarterly financial report for your review let me know if you have questions,0
security alert unauthorized access detected login below to secure your account,1
final notice your subscription will be cancelled unless you update your payment info,1
happy birthday wishing you a fantastic day and a great year ahead,0
urgent your account has been suspended click here to verify your identity immediately,1
please review the attached draft of the new marketing campaign and provide feedback,0
your monthly newsletter is here check out the latest updates from our company,0
happy birthday wishing you a fantastic day and a great year ahead,0
here are the notes from our brainstorming session lets discuss next steps,0
hi team just a reminder about our meeting tomorrow at am see you then,0
your monthly newsletter is here check out the latest updates from our company,0
just following up on my previous email regarding the project timeline,0
we noticed suspicious activity on your credit card verify your transactions here,1
here are the notes from our brainstorming session lets discuss next steps,0
your password expires in hours click this link to update it,1
urgent your account has been suspended click here to verify your identity immediately,1
you have won reply with your bank details to claim your prize now,1
final notice your subscription will be cancelled unless you update your payment info,1
urgent your account has been suspended click here to verify your identity immediately,1
here are the notes from our brainstorming session lets discuss next steps,0
congratulations you have been selected for a free gift card claim it now,1
invoice attached please remit payment immediately to avoid late fees,1
your password expires in hours click this link to update it,1
final notice your subscription will be cancelled unless you update your payment info,1
thanks for your purchase your order has shipped and should arrive by friday,0
happy birthday wishing you a fantastic day and a great year ahead,0
your password expires in hours click this link to update it,1
hi team just a reminder about our meeting tomorrow at am see you then,0
attention your email quota is full upgrade now or lose your messages,1
can you please send me the presentation slides from yesterdays seminar,0
your monthly newsletter is here check out the latest updates from our company,0
attention your email quota is full upgrade now or lose your messages,1
dear customer your package could not be delivered pay the shipping fee here,1
dear customer your package could not be delivered pay the shipping fee here,1
thanks for your purchase your order has shipped and should arrive by friday,0
here are the notes from our brainstorming session lets discuss next steps,0
just following up on my previous email regarding the project timeline,0
here are the notes from our brainstorming session lets discuss next steps,0
can you please send me the presentation slides from yesterdays seminar,0
final notice your subscription will be cancelled unless you update your payment info,1
invoice attached please remit payment immediately to avoid late fees,1
we noticed suspicious activity on your credit card verify your transactions here,1
security alert unauthorized access detected login below to secure your account,1
we noticed suspicious activity on your credit card verify your transactions here,1
are we still on for lunch today let me know what time works best for you,0
we noticed suspicious activity on your credit card verify your transactions here,1
final notice your subscription will be cancelled unless you update your payment info,1
your monthly newsletter is here check out the latest updates from our company,0
your monthly newsletter is here check out the latest updates from our company,0
happy birthday wishing you a fantastic day and a great year ahead,0
can you please send me the presentation slides from yesterdays seminar,0
can you please send me the presentation slides from yesterdays seminar,0
dear customer your package could not be delivered pay the shipping fee here,1
just following up on my previous email regarding the project timeline,0
dear customer your package could not be delivered pay the shipping fee here,1
please review the attached draft of the new marketing campaign and provide feedback,0
dear customer your package could not be delivered pay the shipping fee here,1
you have won reply with your bank details to claim your prize now,1
your monthly newsletter is here check out the latest updates from our company,0
happy birthday wishing you a fantastic day and a great year ahead,0
your monthly newsletter is here check out the latest updates from our company,0
you have won reply with your bank details to claim your prize now,1
please review the attached draft of the new marketing campaign and provide feedback,0
final notice your subscription will be cancelled unless you update your payment info,1
happy birthday wishing you a fantastic day and a great year ahead,0
just following up on my previous email regarding the project timeline,0
dear customer your package could not be delivered pay the shipping fee here,1
please review the attached draft of the new marketing campaign and provide feedback,0
your monthly newsletter is here check out the latest updates from our company,0
final notice your subscription will be cancelled unless you update your payment info,1
can you please send me the presentation slides from yesterdays seminar,0
security alert unauthorized access detected login below to secure your account,1
please review the attached draft of the new marketing campaign and provide feedback,0
urgent your account has been suspended click here to verify your identity immediately,1
please review the attached draft of the new marketing campaign and provide feedback,0
can you please send me the presentation slides from yesterdays seminar,0
your password expires in hours click this link to update it,1
please review the attached draft of the new marketing campaign and provide feedback,0
you have won reply with your bank details to claim your prize now,1
your monthly newsletter is here check out the latest updates from our company,0
invoice attached please remit payment immediately to avoid late fees,1
you have won reply with your bank details to claim your prize now,1
you have won reply with your bank details to claim your prize now,1
are we still on for lunch today let me know what time works best for you,0
security alert unauthorized access detected login below to secure your account,1
invoice attached please remit payment immediately to avoid late fees,1
invoice attached please remit payment immediately to avoid late fees,1
your password expires in hours click this link to update it,1
please review the attached draft of the new marketing campaign and provide feedback,0
here are the notes from our brainstorming session lets discuss next steps,0
congratulations you have been selected for a free gift card claim it now,1
final notice your subscription will be cancelled unless you update your payment info,1
urgent your account has been suspended click here to verify your identity immediately,1
attention your email quota is full upgrade now or lose your messages,1
your password expires in hours click this link to update it,1
congratulations you have been selected for a free gift card claim it now,1
security alert unauthorized access detected login below to secure your account,1
attached is the quarterly financial report for your review let me know if you have questions,0
here are the notes from our brainstorming session lets discuss next steps,0
please review the attached draft of the new marketing campaign and provide feedback,0
we noticed suspicious activity on your credit card verify your transactions here,1
invoice attached please remit payment immediately to avoid late fees,1
here are the notes from our brainstorming session lets discuss next steps,0
can you please send me the presentation slides from yesterdays seminar,0
thanks for your purchase your order has shipped and should arrive by friday,0
dear customer your package could not be delivered pay the shipping fee here,1
attached is the quarterly financial report for your review let me know if you have questions,0
dear customer your package could not be delivered pay the shipping fee here,1
attention your email quota is full upgrade now or lose your messages,1
congratulations you have been selected for a free gift card claim it now,1
attention your email quota is full upgrade now or lose your messages,1
just following up on my previous email regarding the project timeline,0
just following up on my previous email regarding the project timeline,0
urgent your account has been suspended click here to verify your identity immediately,1
attached is the quarterly financial report for your review let me know if you have questions,0
you have won reply with your bank details to claim your prize now,1
urgent your account has been suspended click here to verify your identity immediately,1
we noticed suspicious activity on your credit card verify your transactions here,1
hi team just a reminder about our meeting tomorrow at am see you then,0
urgent your account has been suspended click here to verify your identity immediately,1
are we still on for lunch today let me know what time works best for you,0
final notice your subscription will be cancelled unless you update your payment info,1
congratulations you have been selected for a free gift card claim it now,1
are we still on for lunch today let me know what time works best for you,0
you have won reply with your bank details to claim your prize now,1
are we still on for lunch today let me know what time works best for you,0
happy birthday wishing you a fantastic day and a great year ahead,0
happy birthday wishing you a fantastic day and a great year ahead,0
final notice your subscription will be cancelled unless you update your payment info,1
urgent your account has been suspended click here to verify your identity immediately,1
you have won reply with your bank details to claim your prize now,1
happy birthday wishing you a fantastic day and a great year ahead,0
final notice your subscription will be cancelled unless you update your payment info,1
final notice your subscription will be cancelled unless you update your payment info,1
attention your email quota is full upgrade now or lose your messages,1
hi team just a reminder about our meeting tomorrow at am see you then,0
can you please send me the presentation slides from yesterdays seminar,0
can you please send me the presentation slides from yesterdays seminar,0
attached is the quarterly financial report for your review let me know if you have questions,0
your password expires in hours click this link to update it,1
security alert unauthorized access detected login below to secure your account,1
we noticed suspicious activity on your credit card verify your transactions here,1
your monthly newsletter is here check out the latest updates from our company,0
we noticed suspicious activity on your credit card verify your transactions here,1
attention your email quota is full upgrade now or lose your messages,1
dear customer your package could not be delivered pay the shipping fee here,1
attached is the quarterly financial report for your review let me know if you have questions,0
urgent your account has been suspended click here to verify your identity immediately,1
security alert unauthorized access detected login below to secure your account,1
security alert unauthorized access detected login below to secure your account,1
just following up on my previous email regarding the project timeline,0
here are the notes from our brainstorming session lets discuss next steps,0
your password expires in hours click this link to update it,1
can you please send me the presentation slides from yesterdays seminar,0
please review the attached draft of the new marketing campaign and provide feedback,0
happy birthday wishing you a fantastic day and a great year ahead,0
please review the attached draft of the new marketing campaign and provide feedback,0
hi team just a reminder about our meeting tomorrow at am see you then,0
attached is the quarterly financial report for your review let me know if you have questions,0
happy birthday wishing you a fantastic day and a great year ahead,0
we noticed suspicious activity on your credit card verify your transactions here,1
invoice attached please remit payment immediately to avoid late fees,1
we noticed suspicious activity on your credit card verify your transactions here,1
security alert unauthorized access detected login below to secure your account,1
just following up on my previous email regarding the project timeline,0
security alert unauthorized access detected login below to secure your account,1
final notice your subscription will be cancelled unless you update your payment info,1
we noticed suspicious activity on your credit card verify your transactions here,1
security alert unauthorized access detected login below to secure your account,1
just following up on my previous email regarding the project timeline,0
happy birthday wishing you a fantastic day and a great year ahead,0
can you please send me the presentation slides from yesterdays seminar,0
security alert unauthorized access detected login below to secure your account,1
dear customer your package could not be delivered pay the shipping fee here,1
attached is the quarterly financial report for your review let me know if you have questions,0
invoice attached please remit payment immediately to avoid late fees,1
are we still on for lunch today let me know what time works best for you,0
you have won reply with your bank details to claim your prize now,1
thanks for your purchase your order has shipped and should arrive by friday,0
here are the notes from our brainstorming session lets discuss next steps,0
urgent your account has been suspended click here to verify your identity immediately,1
congratulations you have been selected for a free gift card claim it now,1
can you please send me the presentation slides from yesterdays seminar,0
happy birthday wishing you a fantastic day and a great year ahead,0
thanks for your purchase your order has shipped and should arrive by friday,0
thanks for your purchase your order has shipped and should arrive by friday,0
attention your email quota is full upgrade now or lose your messages,1
your password expires in hours click this link to update it,1
security alert unauthorized access detected login below to secure your account,1
dear customer your package could not be delivered pay the shipping fee here,1
your password expires in hours click this link to update it,1
urgent your account has been suspended click here to verify your identity immediately,1
thanks for your purchase your order has shipped and should arrive by friday,0
are we still on for lunch today let me know what time works best for you,0
urgent your account has been suspended click here to verify your identity immediately,1
here are the notes from our brainstorming session lets discuss next steps,0
you have won reply with your bank details to claim your prize now,1
your password expires in hours click this link to update it,1
your monthly newsletter is here check out the latest updates from our company,0
final notice your subscription will be cancelled unless you update your payment info,1
you have won reply with your bank details to claim your prize now,1
you have won reply with your bank details to claim your prize now,1
urgent your account has been suspended click here to verify your identity immediately,1
your password expires in hours click this link to update it,1
congratulations you have been selected for a free gift card claim it now,1
your password expires in hours click this link to update it,1
invoice attached please remit payment immediately to avoid late fees,1
hi team just a reminder about our meeting tomorrow at am see you then,0
dear customer your package could not be delivered pay the shipping fee here,1
urgent your account has been suspended click here to verify your identity immediately,1
your password expires in hours click this link to update it,1
we noticed suspicious activity on your credit card verify your transactions here,1
are we still on for lunch today let me know what time works best for you,0
invoice attached please remit payment immediately to avoid late fees,1
we noticed suspicious activity on your credit card verify your transactions here,1
thanks for your purchase your order has shipped and should arrive by friday,0
final notice your subscription will be cancelled unless you update your payment info,1
your monthly newsletter is here check out the latest updates from our company,0
urgent your account has been suspended click here to verify your identity immediately,1
invoice attached please remit payment immediately to avoid late fees,1
congratulations you have been selected for a free gift card claim it now,1
your monthly newsletter is here check out the latest updates from our company,0
we noticed suspicious activity on your credit card verify your transactions here,1
invoice attached please remit payment immediately to avoid late fees,1
hi team just a reminder about our meeting tomorrow at am see you then,0
are we still on for lunch today let me know what time works best for you,0
we noticed suspicious activity on your credit card verify your transactions here,1
dear customer your package could not be delivered pay the shipping fee here,1
thanks for your purchase your order has shipped and should arrive by friday,0
your password expires in hours click this link to update it,1
urgent your account has been suspended click here to verify your identity immediately,1
are we still on for lunch today let me know what time works best for you,0
hi team just a reminder about our meeting tomorrow at am see you then,0
security alert unauthorized access detected login below to secure your account,1
hi team just a reminder about our meeting tomorrow at am see you then,0
please review the attached draft of the new marketing campaign and provide feedback,0
dear customer your package could not be delivered pay the shipping fee here,1
you have won reply with your bank details to claim your prize now,1
can you please send me the presentation slides from yesterdays seminar,0
we noticed suspicious activity on your credit card verify your transactions here,1
just following up on my previous email regarding the project timeline,0
congratulations you have been selected for a free gift card claim it now,1
dear customer your package could not be delivered pay the shipping fee here,1
security alert unauthorized access detected login below to secure your account,1
happy birthday wishing you a fantastic day and a great year ahead,0
happy birthday wishing you a fantastic day and a great year ahead,0
your password expires in hours click this link to update it,1
attention your email quota is full upgrade now or lose your messages,1
here are the notes from our brainstorming session lets discuss next steps,0
attached is the quarterly financial report for your review let me know if you have questions,0
just following up on my previous email regarding the project timeline,0
please review the attached draft of the new marketing campaign and provide feedback,0
can you please send me the presentation slides from yesterdays seminar,0
we noticed suspicious activity on your credit card verify your transactions here,1
you have won reply with your bank details to claim your prize now,1
happy birthday wishing you a fantastic day and a great year ahead,0
can you please send me the presentation slides from yesterdays seminar,0
hi team just a reminder about our meeting tomorrow at am see you then,0
attached is the quarterly financial report for your review let me know if you have questions,0
your password expires in hours click this link to update it,1
happy birthday wishing you a fantastic day and a great year ahead,0
hi team just a reminder about our meeting tomorrow at am see you then,0
thanks for your purchase your order has shipped and should arrive by friday,0
thanks for your purchase your order has shipped and should arrive by friday,0
just following up on my previous email regarding the project timeline,0
attention your email quota is full upgrade now or lose your messages,1
we noticed suspicious activity on your credit card verify your transactions here,1
your monthly newsletter is here check out the latest updates from our company,0
invoice attached please remit payment immediately to avoid late fees,1
just following up on my previous email regarding the project timeline,0
invoice attached please remit payment immediately to avoid late fees,1
attention your email quota is full upgrade now or lose your messages,1
invoice attached please remit payment immediately to avoid late fees,1
you have won reply with your bank details to claim your prize now,1
just following up on my previous email regarding the project timeline,0
security alert unauthorized access detected login below to secure your account,1
dear customer your package could not be delivered pay the shipping fee here,1
urgent your account has been suspended click here to verify your identity immediately,1
your password expires in hours click this link to update it,1
congratulations you have been selected for a free gift card claim it now,1
we noticed suspicious activity on your credit card verify your transactions here,1
security alert unauthorized access detected login below to secure your account,1
security alert unauthorized access detected login below to secure your account,1
we noticed suspicious activity on your credit card verify your transactions here,1
attached is the quarterly financial report for your review let me know if you have questions,0
your monthly newsletter is here check out the latest updates from our company,0
invoice attached please remit payment immediately to avoid late fees,1
thanks for your purchase your order has shipped and should arrive by friday,0
hi team just a reminder about our meeting tomorrow at am see you then,0
are we still on for lunch today let me know what time works best for you,0
your monthly newsletter is here check out the latest updates from our company,0
thanks for your purchase your order has shipped and should arrive by friday,0
are we still on for lunch today let me know what time works best for you,0
congratulations you have been selected for a free gift card claim it now,1
your monthly newsletter is here check out the latest updates from our company,0
are we still on for lunch today let me know what time works best for you,0
your monthly newsletter is here check out the latest updates from our company,0
are we still on for lunch today let me know what time works best for you,0
invoice attached please remit payment immediately to avoid late fees,1
invoice attached please remit payment immediately to avoid late fees,1
we noticed suspicious activity on your credit card verify your transactions here,1
please review the attached draft of the new marketing campaign and provide feedback,0
your monthly newsletter is here check out the latest updates from our company,0
here are the notes from our brainstorming session lets discuss next steps,0
dear customer your package could not be delivered pay the shipping fee here,1
security alert unauthorized access detected login below to secure your account,1
your password expires in hours click this link to update it,1
invoice attached please remit payment immediately to avoid late fees,1
just following up on my previous email regarding the project timeline,0
attached is the quarterly financial report for your review let me know if you have questions,0
urgent your account has been suspended click here to verify your identity immediately,1
your password expires in hours click this link to update it,1
your password expires in hours click this link to update it,1
attention your email quota is full upgrade now or lose your messages,1
your monthly newsletter is here check out the latest updates from our company,0
attention your email quota is full upgrade now or lose your messages,1
final notice your subscription will be cancelled unless you update your payment info,1
security alert unauthorized access detected login below to secure your account,1
hi team just a reminder about our meeting tomorrow at am see you then,0
final notice your subscription will be cancelled unless you update your payment info,1
congratulations you have been selected for a free gift card claim it now,1
just following up on my previous email regarding the project timeline,0
attached is the quarterly financial report for your review let me know if you have questions,0
are we still on for lunch today let me know what time works best for you,0
your monthly newsletter is here check out the latest updates from our company,0
are we still on for lunch today let me know what time works best for you,0
attached is the quarterly financial report for your review let me know if you have questions,0
your password expires in hours click this link to update it,1
you have won reply with your bank details to claim your prize now,1
congratulations you have been selected for a free gift card claim it now,1
are we still on for lunch today let me know what time works best for you,0
invoice attached please remit payment immediately to avoid late fees,1
security alert unauthorized access detected login below to secure your account,1
final notice your subscription will be cancelled unless you update your payment info,1
attention your email quota is full upgrade now or lose your messages,1
attention your email quota is full upgrade now or lose your messages,1
can you please send me the presentation slides from yesterdays seminar,0
happy birthday wishing you a fantastic day and a great year ahead,0
can you please send me the presentation slides from yesterdays seminar,0
urgent your account has been suspended click here to verify your identity immediately,1
congratulations you have been selected for a free gift card claim it now,1
we noticed suspicious activity on your credit card verify your transactions here,1
your password expires in hours click this link to update it,1
congratulations you have been selected for a free gift card claim it now,1
hi team just a reminder about our meeting tomorrow at am see you then,0
thanks for your purchase your order has shipped and should arrive by friday,0
hi team just a reminder about our meeting tomorrow at am see you then,0
attention your email quota is full upgrade now or lose your messages,1
dear customer your package could not be delivered pay the shipping fee here,1
attached is the quarterly financial report for your review let me know if you have questions,0
are we still on for lunch today let me know what time works best for you,0
hi team just a reminder about our meeting tomorrow at am see you then,0
please review the attached draft of the new marketing campaign and provide feedback,0
invoice attached please remit payment immediately to avoid late fees,1
can you please send me the presentation slides from yesterdays seminar,0
attached is the quarterly financial report for your review let me know if you have questions,0
attention your email quota is full upgrade now or lose your messages,1
just following up on my previous email regarding the project timeline,0
dear customer your package could not be delivered pay the shipping fee here,1
dear customer your package could not be delivered pay the shipping fee here,1
your password expires in hours click this link to update it,1
just following up on my previous email regarding the project timeline,0
security alert unauthorized access detected login below to secure your account,1
final notice your subscription will be cancelled unless you update your payment info,1
are we still on for lunch today let me know what time works best for you,0
security alert unauthorized access detected login below to secure your account,1
congratulations you have been selected for a free gift card claim it now,1
can you please send me the presentation slides from yesterdays seminar,0
attached is the quarterly financial report for your review let me know if you have questions,0
urgent your account has been suspended click here to verify your identity immediately,1
you have won reply with your bank details to claim your prize now,1
attached is the quarterly financial report for your review let me know if you have questions,0
are we still on for lunch today let me know what time works best for you,0
invoice attached please remit payment immediately to avoid late fees,1
hi team just a reminder about our meeting tomorrow at am see you then,0
invoice attached please remit payment immediately to avoid late fees,1
just following up on my previous email regarding the project timeline,0
we noticed suspicious activity on your credit card verify your transactions here,1
thanks for your purchase your order has shipped and should arrive by friday,0
your password expires in hours click this link to update it,1
please review the attached draft of the new marketing campaign and provide feedback,0
your password expires in hours click this link to update it,1
invoice attached please remit payment immediately to avoid late fees,1
dear customer your package could not be delivered pay the shipping fee here,1
hi team just a reminder about our meeting tomorrow at am see you then,0
congratulations you have been selected for a free gift card claim it now,1
we noticed suspicious activity on your credit card verify your transactions here,1
you have won reply with your bank details to claim your prize now,1
congratulations you have been selected for a free gift card claim it now,1
attention your email quota is full upgrade now or lose your messages,1
attention your email quota is full upgrade now or lose your messages,1
are we still on for lunch today let me know what time works best for you,0
thanks for your purchase your order has shipped and should arrive by friday,0
your monthly newsletter is here check out the latest updates from our company,0
attached is the quarterly financial report for your review let me know if you have questions,0
congratulations you have been selected for a free gift card claim it now,1
congratulations you have been selected for a free gift card claim it now,1
invoice attached please remit payment immediately to avoid late fees,1
are we still on for lunch today let me know what time works best for you,0
attention your email quota is full upgrade now or lose your messages,1
are we still on for lunch today let me know what time works best for you,0
thanks for your purchase your order has shipped and should arrive by friday,0
final notice your subscription will be cancelled unless you update your payment info,1
we noticed suspicious activity on your credit card verify your transactions here,1
congratulations you have been selected for a free gift card claim it now,1
final notice your subscription will be cancelled unless you update your payment info,1
dear customer your package could not be delivered pay the shipping fee here,1
here are the notes from our brainstorming session lets discuss next steps,0
please review the attached draft of the new marketing campaign and provide feedback,0
can you please send me the presentation slides from yesterdays seminar,0
invoice attached please remit payment immediately to avoid late fees,1
invoice attached please remit payment immediately to avoid late fees,1
your monthly newsletter is here check out the latest updates from our company,0
your password expires in hours click this link to update it,1
you have won reply with your bank details to claim your prize now,1
can you please send me the presentation slides from yesterdays seminar,0
final notice your subscription will be cancelled unless you update your payment info,1
your password expires in hours click this link to update it,1
can you please send me the presentation slides from yesterdays seminar,0
urgent your account has been suspended click here to verify your identity immediately,1
invoice attached please remit payment immediately to avoid late fees,1
happy birthday wishing you a fantastic day and a great year ahead,0
security alert unauthorized access detected login below to secure your account,1
urgent your account has been suspended click here to verify your identity immediately,1
final notice your subscription will be cancelled unless you update your payment info,1
your monthly newsletter is here check out the latest updates from our company,0
urgent your account has been suspended click here to verify your identity immediately,1
final notice your subscription will be cancelled unless you update your payment info,1
here are the notes from our brainstorming session lets discuss next steps,0
hi team just a reminder about our meeting tomorrow at am see you then,0
just following up on my previous email regarding the project timeline,0
attention your email quota is full upgrade now or lose your messages,1
happy birthday wishing you a fantastic day and a great year ahead,0
hi team just a reminder about our meeting tomorrow at am see you then,0
we noticed suspicious activity on your credit card verify your transactions here,1
dear customer your package could not be delivered pay the shipping fee here,1
dear customer your package could not be delivered pay the shipping fee here,1
just following up on my previous email regarding the project timeline,0
happy birthday wishing you a fantastic day and a great year ahead,0
please review the attached draft of the new marketing campaign and provide feedback,0
just following up on my previous email regarding the project timeline,0
your password expires in hours click this link to update it,1
attention your email quota is full upgrade now or lose your messages,1
thanks for your purchase your order has shipped and should arrive by friday,0
here are the notes from our brainstorming session lets discuss next steps,0
are we still on for lunch today let me know what time works best for you,0
attention your email quota is full upgrade now or lose your messages,1
attention your email quota is full upgrade now or lose your messages,1
security alert unauthorized access detected login below to secure your account,1
dear customer your package could not be delivered pay the shipping fee here,1
happy birthday wishing you a fantastic day and a great year ahead,0
please review the attached draft of the new marketing campaign and provide feedback,0
urgent your account has been suspended click here to verify your identity immediately,1
dear customer your package could not be delivered pay the shipping fee here,1
can you please send me the presentation slides from yesterdays seminar,0
can you please send me the presentation slides from yesterdays seminar,0
urgent your account has been suspended click here to verify your identity immediately,1
you have won reply with your bank details to claim your prize now,1
here are the notes from our brainstorming session lets discuss next steps,0
thanks for your purchase your order has shipped and should arrive by friday,0
